treatment	group	cage	alive 	dead	all	percent_survival
Tetracycline	coevolved	cage1	18	9	27	0.666666667
Tetracycline	coevolved	cage2	11	7	18	0.611111111
Tetracycline	coevolved	cage3	12	7	19	0.631578947
Tetracycline	coevolved	cage4	18	6	24	0.75
Tetracycline	control	cage1	10	6	16	0.625
Tetracycline	control	cage2	8	7	15	0.533333333
Tetracycline	control	cage3	13	4	17	0.764705882
Tetracycline	control	cage4	7	7	14	0.5
