treatment	group	cage	alive 	dead	all	percent_survival
Tetracycline	coevolved	cage1	1	4	5	0.2
Tetracycline	coevolved	cage2	6	4	10	0.6
Tetracycline	coevolved	cage3	2	5	7	0.285714286
Tetracycline	coevolved	cage4	1	8	9	0.111111111
Tetracycline	control	cage1	0	3	3	0
Tetracycline	control	cage2	3	6	9	0.333333333
Tetracycline	control	cage3	4	9	13	0.307692308
Tetracycline	control	cage4	1	5	6	0.166666667
